Blue Bloods,Pilot,43,1,1,2010,5578,129.7209302
Blue Bloods,After Hours,43,1,10,2010,5581,129.7906977
Blue Bloods,Reagan V. Reagan,43,2,17,2012,5589,129.9767442
Blue Bloods,Unfinished Business,44,4,13,2014,5731,130.25
Blue Bloods,Scorched Earth,43,3,4,2012,5605,130.3488372
Blue Bloods,Some Kind of Hero,42,2,19,2012,5489,130.6904762
Blue Bloods,Chinatown,43,1,8,2010,5622,130.744186
Blue Bloods,Warriors,44,3,15,2013,5753,130.75
Blue Bloods,Silver Star,43,1,17,2011,5627,130.8604651
Blue Bloods,Not Fade Away,40,7,12,2017,5238,130.95
Blue Bloods,The Road to Hell,40,6,14,2016,5239,130.975
Blue Bloods,Righting Wrongs,44,4,18,2014,5766,131.0454545
Blue Bloods,Front Page News,43,3,11,2013,5706,132.6976744
Blue Bloods,Knockout Game,44,4,17,2014,5848,132.9090909
Blue Bloods,Whistle Blower,43,2,10,2012,5730,133.255814
Blue Bloods,The Extra Mile,42,6,21,2016,5601,133.3571429
Blue Bloods,Unbearable Loss,40,7,10,2016,5354,133.85
Blue Bloods,With Friends Like These,43,6,4,2015,5758,133.9069767
Blue Bloods,Friends in Need,41,6,17,2016,5510,134.3902439
Blue Bloods,Insult to Injury,41,4,16,2014,5513,134.4634146
Blue Bloods,Black and Blue,41,2,6,2011,5521,134.6585366
Blue Bloods,Samaritan,43,1,2,2010,5809,135.0930233
Blue Bloods,All the News That's Fit to Click,41,6,3,2015,5554,135.4634146
Blue Bloods,Blowback,41,6,22,2016,5566,135.7560976
Blue Bloods,Hard Bargain,42,7,16,2017,5713,136.0238095
Blue Bloods,Privilege,43,1,3,2010,5853,136.1162791
Blue Bloods,Domestic Disturbance,44,3,2,2012,5993,136.2045455
Blue Bloods,Genetics,40,7,11,2017,5470,136.75
Blue Bloods,Whistleblowers,43,7,6,2016,5898,137.1627907
Blue Bloods,All That Glitters,44,1,20,2011,6044,137.3636364
Blue Bloods,The Uniform,41,2,11,2012,5648,137.7560976
Blue Bloods,Stomping Grounds,43,6,13,2016,5933,137.9767442
Blue Bloods,Mob Rules,40,7,4,2016,5520,138
Blue Bloods,Hold Outs,40,6,9,2015,5558,138.95
Blue Bloods,Back in the Day,41,6,12,2016,5698,138.9756098
Blue Bloods,Inside Jobs,42,3,13,2013,5839,139.0238095
Blue Bloods,The One That Got Away,41,7,13,2017,5708,139.2195122
Blue Bloods,Smack Attack,43,1,6,2010,5987,139.2325581
Blue Bloods,Age of Innocence,43,1,16,2011,5991,139.3255814
Blue Bloods,Quid Pro Quo,42,3,16,2013,5881,140.0238095
Blue Bloods,Protest Too Much,44,3,17,2013,6239,141.7954545
Blue Bloods,For the Community,40,7,5,2016,5673,141.825
Blue Bloods,Rush to Judgment,43,6,6,2015,6143,142.8604651
Blue Bloods,Leap of Faith,44,2,13,2012,6419,145.8863636
Blue Bloods,Guilt by Association,42,7,7,2016,6482,154.3333333
Boardwalk Empire,Margate Sands,60,3,12,2012,3815,63.58333333
Boardwalk Empire,Two Imposters,50,3,11,2012,3368,67.36
Boardwalk Empire,New York Sour,59,4,1,2013,4029,68.28813559
Boardwalk Empire,Family Limitation,59,1,6,2010,4168,70.6440678
Boardwalk Empire,The Age of Reason,58,2,6,2011,4130,71.20689655
Boardwalk Empire,Blue Bell Boy,57,3,4,2012,4204,73.75438596
Boardwalk Empire,The Emerald City,59,1,10,2010,4364,73.96610169
Boardwalk Empire,Georgia Peaches,59,2,10,2011,4364,73.96610169
Boardwalk Empire,Broadway Limited,51,1,3,2010,3780,74.11764706
Boardwalk Empire,The Milkmaid's Lot,54,3,9,2012,4048,74.96296296
Boardwalk Empire,21,53,2,1,2011,3983,75.1509434
Boardwalk Empire,Bone for Tuna,56,3,3,2012,4309,76.94642857
Boardwalk Empire,Acres of Diamonds,55,4,3,2013,4236,77.01818182
Boardwalk Empire,Sunday Best,59,3,7,2012,4555,77.20338983
Boardwalk Empire,Under God's Power She Flourishes,58,2,11,2011,4543,78.32758621
Boardwalk Empire,Spaghetti and Coffee,58,3,2,2012,4549,78.43103448
Boardwalk Empire,Two Boats and a Lifeguard,60,2,8,2011,4746,79.1
Boardwalk Empire,To the Lost,57,2,12,2011,4513,79.1754386
Boardwalk Empire,Resignation,58,4,2,2013,4638,79.96551724
Boardwalk Empire,Paris Green,56,1,11,2010,4484,80.07142857
Boardwalk Empire,All In,56,4,4,2013,4508,80.5
Boardwalk Empire,A Return to Normalcy,60,1,12,2010,4835,80.58333333
Boardwalk Empire,Home,53,1,7,2010,4286,80.86792453
Boardwalk Empire,You'd Be Surprised,59,3,5,2012,4805,81.44067797
Boardwalk Empire,Peg of Old,58,2,7,2011,4821,83.12068966
Boardwalk Empire,A Dangerous Maid,56,2,3,2011,4681,83.58928571
Boardwalk Empire,Resolution,57,3,1,2012,4845,85
Boardwalk Empire,Ourselves Alone,58,2,2,2011,4936,85.10344828
Boardwalk Empire,Nights in Ballygran,53,1,5,2010,4556,85.96226415
Boardwalk Empire,The Ivory Tower,52,1,2,2010,4471,85.98076923
Boardwalk Empire,Belle Femme,53,1,9,2010,4563,86.09433962
Boardwalk Empire,Hold Me in Paradise,49,1,8,2010,4233,86.3877551
Boardwalk Empire,What Does the Bee Do?,57,2,4,2011,4960,87.01754386
Boardwalk Empire,Ging Gang Goolie,56,3,6,2012,4960,88.57142857
Boardwalk Empire,The Pony,59,3,8,2012,5323,90.22033898
Boardwalk Empire,Anastasia,47,1,4,2010,4497,95.68085106
Boardwalk Empire,Battle of the Century,49,2,9,2011,4999,102.0204082
Bosch,Exit Time,48,2,7,2016,3510,73.125
Bosch,Gone,48,2,5,2016,3779,78.72916667
