C:\Python27\python.exe C:/Users/Elena/PycharmProjects/TVSpeed/data_processing.py
Ghost Whisperer , 3 , 98.359203646
Ghost Whisperer , 2 , 97.790359536
Ghost Whisperer , 5 , 117.631842229
Ghost Whisperer , 4 , 110.524928666
Ghost Whisperer , average , 104.831620022
Person of Interest , 1 , 99.0536144567
Person of Interest , 3 , 97.5775601338
Person of Interest , 2 , 100.598733454
Person of Interest , 4 , 91.86046512
Person of Interest , average , 97.2725932911
Skins , 1 , 64.0952380971
Skins , 3 , 78.2158730157
Skins , 2 , 63.944444445
Skins , 5 , 64.79552594
Skins , 4 , 62.5238095233
Skins , 6 , 58.551248842
Skins , average , 65.3543566439
The Messengers , 1 , 93.623882319
The Messengers , average , 93.623882319
Tyrant , 1 , 91.043893039
Tyrant , 3 , 86.1840697913
Tyrant , 2 , 81.934704725
Tyrant , average , 86.3875558518
Devious Maids , 1 , 97.7528669858
Devious Maids , 3 , 117.888727169
Devious Maids , 2 , 109.997575558
Devious Maids , 4 , 128.965608467
Devious Maids , average , 113.651194545
Game of Silence , 1 , 113.673255816
Game of Silence , average , 113.673255816
State of Affairs , 1 , 89.6338086033
State of Affairs , average , 89.6338086033
Chicago Fire , 1 , 92.484711561
Chicago Fire , 3 , 96.0968300075
Chicago Fire , 2 , 95.8649309765
Chicago Fire , 5 , 91.9402244171
Chicago Fire , 4 , 93.3165197214
Chicago Fire , average , 93.9406433367
The Musketeers , 1 , 79.493697833
The Musketeers , 3 , 61.4822492162
The Musketeers , 2 , 71.262511691
The Musketeers , average , 70.7461529134
Chicago Med , 1 , 107.462107643
Chicago Med , 2 , 109.633444069
Chicago Med , average , 108.547775856
The Missing , 1 , 58.556234866
The Missing , 2 , 64.1665327287
The Missing , average , 61.3613837974
Forever , 1 , 115.452857011
Forever , average , 115.452857011
Allegiance , 1 , 97.3571610169
Allegiance , average , 97.3571610169
MacGyver , 1 , 119.51436101
MacGyver , average , 119.51436101
White Collar , 1 , 108.616513137
White Collar , 3 , 122.357492075
White Collar , 2 , 115.75379902
White Collar , 5 , 119.32379855
White Collar , 4 , 119.97483304
White Collar , 6 , 113.954609802
White Collar , average , 116.663507604
Lucifer , 1 , 120.032071125
Lucifer , 2 , 122.850546746
Lucifer , average , 121.441308936
Killjoys , 1 , 101.936046512
Killjoys , 2 , 107.714539603
Killjoys , average , 104.825293058
Fargo , 1 , 65.3450870467
Fargo , 2 , 63.750920175
Fargo , average , 64.5480036108
Friday Night Lights , 1 , 128.417380668
Friday Night Lights , 3 , 125.239160062
Friday Night Lights , 2 , 117.609634559
Friday Night Lights , 5 , 121.669525983
